event_id,particle_index,pdg,charge,pt,eta,phi,mass,energy,is_final
0,4,2212,1,0.437453,-3.79828,0.548074,0.93827,9.81039,1
0,8,2112,0,0.0387317,6.12361,0.819809,0.93957,8.8905,1
0,9,211,1,0.535897,0.430454,-2.70554,0.13957,0.6027,1
0,11,22,0,0.103103,1.68546,-0.318876,0,0.287672,1
0,12,22,0,0.0122045,4.20421,2.94195,0,0.408743,1
1,17,211,1,0.129576,-2.74753,-0.7577,0.13957,1.02466,1
1,18,2112,0,0.305877,-3.82822,1.67346,0.93957,7.09804,1
1,21,211,1,0.363927,0.442697,-3.09566,0.13957,0.423815,1
1,22,-211,-1,0.468692,-0.767068,0.857788,0.13957,0.629151,1
1,24,211,1,0.776577,1.02852,-1.56543,0.13957,1.23277,1
1,25,-211,-1,0.377441,0.175302,2.48611,0.13957,0.407878,1
1,27,2212,1,0.695886,3.10115,-0.730493,0.93827,7.80478,1
1,28,22,0,0.147132,-2.14796,0.934471,0,0.638853,1
1,29,22,0,0.0543042,-1.56932,-0.604351,0,0.136074,1
1,30,22,0,0.515059,0.46969,2.32962,0,0.572924,1
1,31,22,0,0.00763107,2.08153,-2.67494,0,0.0310641,1
2,3,2212,1,0.240586,4.39236,-0.571077,0.93827,9.77003,1
2,7,211,1,0.580713,-0.628129,1.55087,0.13957,0.712885,1
2,9,2112,0,0.0926451,-4.55056,3.09374,0.93957,4.48607,1
2,10,211,1,0.421277,-2.71971,-1.57825,0.13957,3.21354,1
2,11,-211,-1,0.0987835,-2.23799,-0.599107,0.13957,0.488648,1
2,13,22,0,0.202053,-2.37004,2.83354,0,1.09021,1
2,14,22,0,0.0399582,-2.47309,-1.75552,0,0.238619,1
3,3,2212,1,0.224622,4.34996,-0.679843,0.93827,8.75319,1
3,7,321,1,0.512189,1.17258,2.96864,0.49368,1.03225,1
3,10,2112,0,0.332583,-3.66544,0.135171,0.93957,6.56938,1
3,11,130,0,0.152222,0.844327,1.76683,0.49761,0.540022,1
3,12,22,0,0.149233,-3.65804,-1.57635,0,2.89595,1
3,13,22,0,0.0318634,-2.56913,0.259528,0,0.2092,1
4,57,211,1,0.527754,-0.629817,-0.532122,0.13957,0.651067,1
4,70,211,1,0.289578,-0.934365,2.91613,0.13957,0.447761,1
4,71,2112,0,0.435313,-1.35751,0.20966,0.93957,1.30241,1
4,72,-211,-1,1.02949,0.106099,1.58109,0.13957,1.04465,1
